"848x480, 15cm target",0 deg,,,,30 deg,,,,60 deg,,,
Repetition,1,2,3,4,1,2,3,4,1,2,3,4
Measurement Distance,,,,,,,,,,,,
20,19.2,19.1,19.24,19.11,19.12,19.14,19.12,19.3,20.45,20.52,20.67,20.4
25,24.15,24.02,24.02,23.97,24,23.98,24.2,23.9,25.28,25.35,25.25,25.12
30,28.95,28.95,28.9,28.8,28.8,28.82,28.92,28.6,30.1,30.3,30.2,30
35,33.86,33.79,33.87,33.74,33.64,33.7,33.6,33.8,35,34.9,34.7,34.8
40,38.55,38.5,38.55,38.5,38.57,38.64,38.72,38.5,39.7,39.5,39.6,39.73
45,43.32,43.4,43.2,43.2,43.5,43.52,43.6,43.7,44.5,44.55,44.4,44.7
50,47.98,48.5,47.9,48.2,48.49,48.42,48.55,48.3,49.2,49.3,49.12,49.1
55,53.01,53.1,52.9,53.1,53.2,53.6,53.1,53.2,54.2,54.3,54,54.25
60,57.9,58,57.8,58.3,58.1,57,57.1,58.15,59.1,58.6,58.7,58.9
65,62.3,61.5,61.2,62.7,61.6,61.9,60.8,60.9,63.2,64,62.4,62.2
70,66.2,66.3,66.1,66.1,65.4,65.6,65.2,65.7,66.8,66.5,67,66.7
75,70.8,70.9,70.7,70.6,70.1,69.9,70.3,69.6,71.4,71.2,71.6,71.3
80,75.3,75.3,75.1,75.4,74.3,74.5,74.3,74.2,75.7,75.8,75.5,75.4
