x,y,z
-0.128000,-0.369500,0.572500
0.098500,-0.062500,0.546000
0.355500,-0.128000,0.572500
-0.483500,-0.352500,0.263500
-0.483500,-0.277500,0.289000
-0.513500,-0.176000,0.262000
-0.526000,-0.038000,0.161500
-0.482000,0.043000,0.018000
-0.432000,0.074000,0.268000
-0.388000,-0.275500,0.474000
-0.382000,-0.182000,0.493000
-0.357000,0.068000,0.018000
-0.357000,0.068000,0.418000
-0.232000,-0.132000,0.243000
-0.238500,0.062000,0.161500
-0.157000,-0.582000,0.118000
-0.182000,-0.532000,0.243000
-0.147500,-0.378000,0.569500
-0.057000,-0.532000,0.368000
-0.097500,-0.378000,0.569500
-0.026000,-0.138000,0.436500
-0.026000,-0.163500,0.499500
-0.057000,-0.032000,0.618000
-0.072000,0.058000,0.619500
0.058000,-0.583500,0.108000
0.068000,-0.532000,0.343000
0.024000,-0.188000,0.436500
0.024000,-0.213500,0.499500
0.143000,-0.582000,0.118000
0.074000,-0.213500,0.449500
0.268000,-0.282000,0.568000
0.380500,-0.482000,0.230500
0.364000,-0.147500,0.569500
0.318000,-0.057000,0.118000
0.293000,-0.032000,0.230500
0.368000,-0.057000,0.568000
0.364000,0.071000,0.263500
0.423500,0.047000,0.209000
0.569500,-0.147500,0.263500
-0.277500,-0.147500,0.289000
-0.277500,-0.072000,0.469500
-0.583500,0.083000,0.263500
-0.382000,-0.157000,-0.032000
-0.382000,-0.132000,0.318000
-0.401000,-0.313500,0.474000
-0.419500,-0.082000,0.568000
-0.257000,-0.332000,-0.032000
-0.277500,-0.352500,0.569500
-0.282000,-0.257000,-0.032000
-0.302500,-0.327500,0.519500
-0.307000,-0.132000,0.368000
-0.282000,-0.532000,0.243000
-0.082000,-0.332000,0.093000
-0.110000,-0.521000,0.469500
-0.072000,-0.172500,0.364000
-0.132000,-0.307000,0.618000
-0.132000,-0.032000,0.693000
0.143000,-0.482000,-0.032000
0.259000,-0.535000,0.123000
0.405500,-0.482000,0.155500
0.343000,0.118000,-0.032000
0.518000,-0.257000,0.268000
-0.409000,-0.154000,0.576000
0.389000,-0.428000,0.058000
-0.532000,-0.132000,0.043000
-0.507000,-0.032000,0.018000
-0.533500,-0.122500,0.364000
-0.432000,0.099000,0.268000
-0.275500,-0.088500,0.161500
-0.257000,-0.032000,0.518000
-0.135000,-0.496000,0.494500
-0.082000,-0.182000,0.343000
-0.132000,-0.307000,0.618000
-0.169500,0.018000,0.568000
-0.132000,-0.457000,-0.032000
-0.082000,-0.207000,0.318000
0.018000,-0.057000,0.718000
0.118000,-0.632000,0.143000
0.068000,-0.457000,-0.032000
0.068000,-0.457000,-0.032000
0.193000,-0.482000,0.418000
0.118000,-0.032000,0.443000
0.143000,-0.232000,0.268000
0.313500,-0.302500,0.569500
0.211500,-0.101000,0.049500
0.405500,-0.482000,0.180500
0.343000,-0.232000,-0.032000
0.418000,-0.057000,-0.032000
0.430500,0.068000,-0.025500
0.569500,-0.122500,0.058000
-0.327500,-0.147500,0.619500
0.058000,-0.277500,0.263500
0.108000,-0.428000,0.569500
-0.457000,-0.182000,-0.032000
-0.382000,-0.157000,0.318000
-0.532000,-0.157000,0.368000
-0.282000,-0.257000,-0.032000
-0.269500,0.168000,0.024000
-0.232000,-0.582000,0.243000
-0.110000,-0.521000,0.469500
0.018000,-0.632000,0.243000
0.058000,-0.172500,0.364000
0.118000,-0.632000,0.143000
0.230500,-0.482000,-0.025500
0.263500,-0.533500,0.108000
0.288500,-0.533500,0.263500
0.293000,-0.132000,0.618000
0.168000,0.018000,0.543000
0.263500,0.058000,0.313500
0.380500,-0.507000,0.205500
0.314000,-0.135000,-0.041000
0.418000,-0.057000,-0.032000
0.368000,0.143000,0.118000
0.468000,-0.182000,-0.007000
0.519500,-0.122500,0.389000
0.480500,-0.007000,-0.007000
0.524000,-0.001000,0.387000
-0.227500,-0.122500,0.263500
0.083000,-0.583500,0.364000
0.108000,-0.022000,0.569500
-0.483500,-0.327500,0.108000
-0.533500,-0.147500,0.314000
-0.532000,-0.132000,0.318000
-0.382000,-0.132000,0.343000
-0.533500,0.108000,0.083000
-0.282000,0.068000,0.393000
-0.257000,-0.582000,0.118000
-0.277500,-0.533500,0.313500
-0.327500,-0.352500,0.519500
-0.269500,0.268000,-0.025500
-0.207000,-0.582000,0.118000
-0.172500,-0.072000,0.364000
-0.057000,-0.632000,0.218000
-0.057000,-0.632000,0.218000
-0.057000,-0.482000,-0.032000
-0.097000,-0.483500,0.519500
0.018000,-0.632000,0.243000
0.043000,-0.482000,-0.032000
0.043000,-0.382000,0.618000
0.024000,-0.138000,0.411500
-0.032000,-0.182000,0.693000
0.143000,-0.432000,-0.032000
0.143000,-0.232000,0.268000
0.093000,-0.082000,0.368000
0.307000,-0.034000,0.613500
0.343000,-0.232000,-0.032000
0.393000,0.030500,0.468000
0.430500,-0.457000,0.180500
0.469500,0.058500,0.288500
0.569500,-0.097000,0.083000
0.569500,0.083000,0.263500
-0.388000,-0.079500,0.595500
0.083000,-0.428000,0.594500
0.108000,-0.022000,0.519500
0.263500,-0.072000,0.213500
-0.457000,-0.182000,-0.032000
-0.538500,-0.201000,0.287000
-0.382000,-0.157000,0.368000
-0.282000,-0.082000,0.443000
-0.277500,-0.533500,0.339000
-0.332000,-0.382000,0.018000
-0.327500,-0.483500,0.263500
-0.257000,-0.332000,-0.032000
-0.132000,-0.457000,-0.032000
-0.057000,-0.432000,-0.032000
-0.032000,-0.182000,0.693000
-0.132000,0.018000,0.543000
0.043000,-0.432000,-0.032000
0.093000,-0.282000,0.268000
0.093000,-0.082000,0.368000
0.168000,0.018000,0.543000
0.309500,-0.535000,0.334500
0.268000,-0.257000,-0.032000
0.405500,-0.482000,0.180500
0.380500,-0.507000,0.243000
0.268000,-0.257000,-0.032000
0.469500,-0.327500,0.313500
0.493000,-0.182000,0.018000
0.519500,-0.277500,0.108000
0.469500,-0.110000,0.507000
0.414000,0.033500,0.288500
0.519500,-0.122500,0.389000
0.480500,-0.007000,-0.007000
0.518000,0.118000,0.143000
0.414000,-0.377500,0.046000
0.205500,-0.119500,0.330500
0.255500,-0.182000,0.230500
-0.177500,-0.102000,0.328500
-0.392500,-0.430000,0.038000
0.200500,-0.127000,0.328000
0.505500,0.018000,0.005500
-0.077000,-0.532500,0.518500
0.337000,-0.484500,0.312000
