v1,v2,v3
12,288,1
1,295,81
288,295,1
295,313,83
83,81,295
313,315,217
217,83,313
315,319,218
218,217,315
218,319,26
220,326,219
329,326,220
333,326,329
329,336,333
221,329,220
339,329,221
342,329,339
336,329,342
353,333,336
348,333,353
356,348,353
353,358,356
353,336,342
342,362,353
373,353,362
358,353,373
377,339,221
221,222,377
342,339,377
377,379,342
384,377,222
222,223,384
387,377,384
379,377,387
362,342,379
379,391,362
373,362,391
391,396,373
391,379,387
387,401,391
225,391,401
225,224,391
224,396,391
356,358,227
227,226,356
358,373,228
228,227,358
228,396,229
373,396,228
229,396,224
230,384,223
230,387,384
230,410,387
230,231,410
232,410,231
414,387,410
401,387,414
233,414,416
233,225,414
225,401,414
232,234,410
234,414,410
234,419,414
416,414,419
419,257,416
30,258,235
235,258,32
236,419,234
24,419,236
257,419,24
233,416,237
237,257,18
416,257,237
764,769,580
580,467,764
580,774,646
769,774,580
782,777,788
788,792,782
774,782,792
792,795,774
880,788,799
792,788,880
795,792,880
880,885,795
646,795,650
774,795,646
651,885,893
651,795,885
651,650,795
651,893,654
880,799,902
902,905,880
885,880,905
905,949,885
1041,902,956
905,902,1041
949,905,1041
1041,1109,949
893,885,949
949,1118,893
654,1118,655
893,1118,654
1118,949,1109
1109,1126,1118
655,1126,656
1118,1126,655
196,1165,153
1165,1041,153
1041,956,153
1168,1041,1165
1109,1041,1168
1174,1188,178
1188,1165,178
1165,196,178
1193,1165,1188
1168,1165,1193
1126,1109,1168
1168,1207,1126
1126,1207,658
658,656,1126
1212,1168,1193
1207,1168,1212
659,1207,1219
1207,1212,1219
659,658,1207
1234,1174,1233
1188,1174,1234
1193,1188,1234
1234,1236,1193
1243,1233,1239
1234,1233,1243
1236,1234,1243
1243,1245,1236
1212,1193,1236
1236,1252,1212
1219,1212,1252
1252,1254,1219
1258,1236,1245
1252,1236,1258
1254,1252,1258
1258,1263,1254
659,1219,660
660,1254,662
1219,1254,660
663,1254,1272
1254,1263,1272
663,662,1254
663,1272,665
1243,1239,1296
1296,1313,1243
1319,1243,1313
1245,1243,1319
1328,1296,1325
1313,1296,1328
1319,1313,1328
1328,1331,1319
1258,1245,1319
1319,1345,1258
1263,1258,1345
1345,1356,1263
1345,1319,1331
1331,1359,1345
1364,1345,1359
1356,1345,1364
1328,1325,1357
1357,1369,1328
1373,1328,1369
1331,1328,1373
1369,1357,780
780,873,1369
873,13,1369
13,9,1369
9,1373,1369
1359,1331,1373
1373,1379,1359
1364,1359,1379
1379,1381,1364
1373,9,59
59,1379,1373
