# x,y,z,is_reachable
-1.007,-1.007,-1.007,0.0
-1.007,-1.007,-0.785,0.0
-1.007,-1.007,-0.563,0.0
-1.007,-1.007,-0.340,0.0
-1.007,-1.007,-0.118,0.0
-1.007,-1.007,0.104,0.0
-1.007,-1.007,0.326,0.0
-1.007,-1.007,0.549,0.0
-1.007,-1.007,0.771,0.0
-1.007,-1.007,0.993,0.0
-1.007,-0.785,-1.007,0.0
-1.007,-0.785,-0.785,0.0
-1.007,-0.785,-0.563,0.0
-1.007,-0.785,-0.340,0.0
-1.007,-0.785,-0.118,0.0
-1.007,-0.785,0.104,0.0
-1.007,-0.785,0.326,0.0
-1.007,-0.785,0.549,0.0
-1.007,-0.785,0.771,0.0
-1.007,-0.785,0.993,0.0
-1.007,-0.563,-1.007,0.0
-1.007,-0.563,-0.785,0.0
-1.007,-0.563,-0.563,0.0
-1.007,-0.563,-0.340,0.0
-1.007,-0.563,-0.118,0.0
-1.007,-0.563,0.104,0.0
-1.007,-0.563,0.326,0.0
-1.007,-0.563,0.549,0.0
-1.007,-0.563,0.771,0.0
-1.007,-0.563,0.993,0.0
-1.007,-0.340,-1.007,0.0
-1.007,-0.340,-0.785,0.0
-1.007,-0.340,-0.563,0.0
-1.007,-0.340,-0.340,0.0
-1.007,-0.340,-0.118,0.0
-1.007,-0.340,0.104,0.0
-1.007,-0.340,0.326,0.0
-1.007,-0.340,0.549,0.0
-1.007,-0.340,0.771,0.0
-1.007,-0.340,0.993,0.0
-1.007,-0.118,-1.007,0.0
-1.007,-0.118,-0.785,0.0
-1.007,-0.118,-0.563,0.0
-1.007,-0.118,-0.340,0.0
-1.007,-0.118,-0.118,0.0
-1.007,-0.118,0.104,0.0
-1.007,-0.118,0.326,0.0
-1.007,-0.118,0.549,0.0
-1.007,-0.118,0.771,0.0
-1.007,-0.118,0.993,0.0
-1.007,0.104,-1.007,0.0
-1.007,0.104,-0.785,0.0
-1.007,0.104,-0.563,0.0
-1.007,0.104,-0.340,0.0
-1.007,0.104,-0.118,0.0
-1.007,0.104,0.104,0.0
-1.007,0.104,0.326,0.0
-1.007,0.104,0.549,0.0
-1.007,0.104,0.771,0.0
-1.007,0.104,0.993,0.0
-1.007,0.326,-1.007,0.0
-1.007,0.326,-0.785,0.0
-1.007,0.326,-0.563,0.0
-1.007,0.326,-0.340,0.0
-1.007,0.326,-0.118,0.0
-1.007,0.326,0.104,0.0
-1.007,0.326,0.326,0.0
-1.007,0.326,0.549,0.0
-1.007,0.326,0.771,0.0
-1.007,0.326,0.993,0.0
-1.007,0.549,-1.007,0.0
-1.007,0.549,-0.785,0.0
-1.007,0.549,-0.563,0.0
-1.007,0.549,-0.340,0.0
-1.007,0.549,-0.118,0.0
-1.007,0.549,0.104,0.0
-1.007,0.549,0.326,0.0
-1.007,0.549,0.549,0.0
-1.007,0.549,0.771,0.0
-1.007,0.549,0.993,0.0
-1.007,0.771,-1.007,0.0
-1.007,0.771,-0.785,0.0
-1.007,0.771,-0.563,0.0
-1.007,0.771,-0.340,0.0
-1.007,0.771,-0.118,0.0
-1.007,0.771,0.104,0.0
-1.007,0.771,0.326,0.0
-1.007,0.771,0.549,0.0
-1.007,0.771,0.771,0.0
-1.007,0.771,0.993,0.0
-1.007,0.993,-1.007,0.0
-1.007,0.993,-0.785,0.0
-1.007,0.993,-0.563,0.0
-1.007,0.993,-0.340,0.0
-1.007,0.993,-0.118,0.0
-1.007,0.993,0.104,0.0
-1.007,0.993,0.326,0.0
-1.007,0.993,0.549,0.0
-1.007,0.993,0.771,0.0
-1.007,0.993,0.993,0.0
-0.785,-1.007,-1.007,0.0
-0.785,-1.007,-0.785,0.0
-0.785,-1.007,-0.563,0.0
-0.785,-1.007,-0.340,0.0
-0.785,-1.007,-0.118,0.0
-0.785,-1.007,0.104,0.0
-0.785,-1.007,0.326,0.0
-0.785,-1.007,0.549,0.0
-0.785,-1.007,0.771,0.0
-0.785,-1.007,0.993,0.0
-0.785,-0.785,-1.007,0.0
-0.785,-0.785,-0.785,0.0
-0.785,-0.785,-0.563,0.0
-0.785,-0.785,-0.340,0.0
-0.785,-0.785,-0.118,0.0
-0.785,-0.785,0.104,0.0
-0.785,-0.785,0.326,0.0
-0.785,-0.785,0.549,0.0
-0.785,-0.785,0.771,0.0
-0.785,-0.785,0.993,0.0
-0.785,-0.563,-1.007,0.0
-0.785,-0.563,-0.785,0.0
-0.785,-0.563,-0.563,0.0
-0.785,-0.563,-0.340,0.0
-0.785,-0.563,-0.118,0.0
-0.785,-0.563,0.104,0.0
-0.785,-0.563,0.326,0.0
-0.785,-0.563,0.549,0.0
-0.785,-0.563,0.771,0.0
-0.785,-0.563,0.993,0.0
-0.785,-0.340,-1.007,0.0
-0.785,-0.340,-0.785,0.0
-0.785,-0.340,-0.563,0.0
-0.785,-0.340,-0.340,0.0
-0.785,-0.340,-0.118,0.0
-0.785,-0.340,0.104,0.0
-0.785,-0.340,0.326,0.0
-0.785,-0.340,0.549,0.0
-0.785,-0.340,0.771,0.0
-0.785,-0.340,0.993,0.0
-0.785,-0.118,-1.007,0.0
-0.785,-0.118,-0.785,0.0
-0.785,-0.118,-0.563,0.0
-0.785,-0.118,-0.340,0.0
-0.785,-0.118,-0.118,0.0
-0.785,-0.118,0.104,0.0
-0.785,-0.118,0.326,0.0
-0.785,-0.118,0.549,0.0
-0.785,-0.118,0.771,0.0
-0.785,-0.118,0.993,0.0
-0.785,0.104,-1.007,0.0
-0.785,0.104,-0.785,0.0
-0.785,0.104,-0.563,0.0
-0.785,0.104,-0.340,0.0
-0.785,0.104,-0.118,0.0
-0.785,0.104,0.104,0.0
-0.785,0.104,0.326,0.0
-0.785,0.104,0.549,0.0
-0.785,0.104,0.771,0.0
-0.785,0.104,0.993,0.0
-0.785,0.326,-1.007,0.0
-0.785,0.326,-0.785,0.0
-0.785,0.326,-0.563,0.0
-0.785,0.326,-0.340,0.0
-0.785,0.326,-0.118,0.0
-0.785,0.326,0.104,0.0
-0.785,0.326,0.326,0.0
-0.785,0.326,0.549,0.0
-0.785,0.326,0.771,0.0
-0.785,0.326,0.993,0.0
-0.785,0.549,-1.007,0.0
-0.785,0.549,-0.785,0.0
-0.785,0.549,-0.563,0.0
-0.785,0.549,-0.340,0.0
-0.785,0.549,-0.118,0.0
-0.785,0.549,0.104,0.0
-0.785,0.549,0.326,0.0
-0.785,0.549,0.549,0.0
-0.785,0.549,0.771,0.0
-0.785,0.549,0.993,0.0
-0.785,0.771,-1.007,0.0
-0.785,0.771,-0.785,0.0
-0.785,0.771,-0.563,0.0
-0.785,0.771,-0.340,0.0
-0.785,0.771,-0.118,0.0
-0.785,0.771,0.104,0.0
-0.785,0.771,0.326,0.0
-0.785,0.771,0.549,0.0
-0.785,0.771,0.771,0.0
-0.785,0.771,0.993,0.0
-0.785,0.993,-1.007,0.0
-0.785,0.993,-0.785,0.0
-0.785,0.993,-0.563,0.0
-0.785,0.993,-0.340,0.0
-0.785,0.993,-0.118,0.0
-0.785,0.993,0.104,0.0
-0.785,0.993,0.326,0.0
-0.785,0.993,0.549,0.0
-0.785,0.993,0.771,0.0
-0.785,0.993,0.993,0.0
-0.563,-1.007,-1.007,0.0
-0.563,-1.007,-0.785,0.0
-0.563,-1.007,-0.563,0.0
-0.563,-1.007,-0.340,0.0
-0.563,-1.007,-0.118,0.0
-0.563,-1.007,0.104,0.0
-0.563,-1.007,0.326,0.0
-0.563,-1.007,0.549,0.0
-0.563,-1.007,0.771,0.0
-0.563,-1.007,0.993,0.0
-0.563,-0.785,-1.007,0.0
-0.563,-0.785,-0.785,0.0
-0.563,-0.785,-0.563,0.0
-0.563,-0.785,-0.340,0.0
-0.563,-0.785,-0.118,0.0
-0.563,-0.785,0.104,0.0
-0.563,-0.785,0.326,0.0
-0.563,-0.785,0.549,0.0
-0.563,-0.785,0.771,0.0
-0.563,-0.785,0.993,0.0
-0.563,-0.563,-1.007,0.0
-0.563,-0.563,-0.785,0.0
-0.563,-0.563,-0.563,0.0
-0.563,-0.563,-0.340,0.0
-0.563,-0.563,-0.118,0.0
-0.563,-0.563,0.104,0.0
-0.563,-0.563,0.326,0.0
-0.563,-0.563,0.549,0.0
-0.563,-0.563,0.771,0.0
-0.563,-0.563,0.993,0.0
-0.563,-0.340,-1.007,0.0
-0.563,-0.340,-0.785,0.0
-0.563,-0.340,-0.563,0.0
-0.563,-0.340,-0.340,0.0
-0.563,-0.340,-0.118,0.0
-0.563,-0.340,0.104,0.0
-0.563,-0.340,0.326,0.0
-0.563,-0.340,0.549,0.0
-0.563,-0.340,0.771,0.0
-0.563,-0.340,0.993,0.0
-0.563,-0.118,-1.007,0.0
-0.563,-0.118,-0.785,0.0
-0.563,-0.118,-0.563,0.0
-0.563,-0.118,-0.340,0.0
-0.563,-0.118,-0.118,0.0
-0.563,-0.118,0.104,1.0
-0.563,-0.118,0.326,1.0
-0.563,-0.118,0.549,0.0
-0.563,-0.118,0.771,0.0
-0.563,-0.118,0.993,0.0
-0.563,0.104,-1.007,0.0
-0.563,0.104,-0.785,0.0
-0.563,0.104,-0.563,0.0
-0.563,0.104,-0.340,0.0
-0.563,0.104,-0.118,0.0
-0.563,0.104,0.104,1.0
-0.563,0.104,0.326,0.0
-0.563,0.104,0.549,0.0
-0.563,0.104,0.771,0.0
-0.563,0.104,0.993,0.0
-0.563,0.326,-1.007,0.0
-0.563,0.326,-0.785,0.0
-0.563,0.326,-0.563,0.0
