# x,y,z,is_reachable
-0.128,-0.369,0.573,1.0
0.099,-0.062,0.546,1.0
0.355,-0.128,0.573,1.0
-0.483,-0.352,0.264,1.0
-0.483,-0.278,0.289,1.0
-0.513,-0.176,0.262,1.0
-0.526,-0.038,0.162,1.0
-0.482,0.043,0.018,1.0
-0.432,0.074,0.268,1.0
-0.388,-0.276,0.474,1.0
-0.382,-0.182,0.493,1.0
-0.357,0.068,0.018,1.0
-0.357,0.068,0.418,0.0
-0.232,-0.132,0.243,1.0
-0.238,0.062,0.162,0.0
-0.157,-0.582,0.118,1.0
-0.182,-0.532,0.243,1.0
-0.147,-0.378,0.570,1.0
-0.057,-0.532,0.368,1.0
-0.098,-0.378,0.570,1.0
-0.026,-0.138,0.436,1.0
-0.026,-0.164,0.499,1.0
-0.057,-0.032,0.618,1.0
-0.072,0.058,0.620,0.0
0.058,-0.584,0.108,1.0
0.068,-0.532,0.343,1.0
0.024,-0.188,0.436,1.0
0.024,-0.213,0.499,1.0
0.143,-0.582,0.118,1.0
0.074,-0.213,0.450,1.0
0.268,-0.282,0.568,1.0
0.381,-0.482,0.231,1.0
0.364,-0.147,0.570,1.0
0.318,-0.057,0.118,1.0
0.293,-0.032,0.231,1.0
0.368,-0.057,0.568,1.0
0.364,0.071,0.264,1.0
0.423,0.047,0.209,1.0
0.570,-0.147,0.264,1.0
-0.278,-0.147,0.289,1.0
-0.278,-0.072,0.469,1.0
-0.584,0.083,0.264,0.0
-0.382,-0.157,-0.032,1.0
-0.382,-0.132,0.318,1.0
-0.401,-0.314,0.474,1.0
-0.419,-0.082,0.568,0.0
-0.257,-0.332,-0.032,1.0
-0.278,-0.352,0.570,0.0
-0.282,-0.257,-0.032,1.0
-0.302,-0.328,0.519,1.0
-0.307,-0.132,0.368,1.0
-0.282,-0.532,0.243,1.0
-0.082,-0.332,0.093,1.0
-0.110,-0.521,0.469,1.0
-0.072,-0.172,0.364,1.0
-0.132,-0.307,0.618,1.0
-0.132,-0.032,0.693,1.0
0.143,-0.482,-0.032,0.0
0.259,-0.535,0.123,1.0
0.406,-0.482,0.155,0.0
0.343,0.118,-0.032,1.0
0.518,-0.257,0.268,1.0
-0.409,-0.154,0.576,0.0
0.389,-0.428,0.058,1.0
-0.532,-0.132,0.043,1.0
-0.507,-0.032,0.018,1.0
-0.533,-0.122,0.364,1.0
-0.432,0.099,0.268,1.0
-0.276,-0.088,0.162,1.0
-0.257,-0.032,0.518,1.0
-0.135,-0.496,0.494,1.0
-0.082,-0.182,0.343,1.0
-0.132,-0.307,0.618,1.0
-0.170,0.018,0.568,1.0
-0.132,-0.457,-0.032,1.0
-0.082,-0.207,0.318,1.0
0.018,-0.057,0.718,0.0
0.118,-0.632,0.143,0.0
0.068,-0.457,-0.032,1.0
0.068,-0.457,-0.032,1.0
0.193,-0.482,0.418,1.0
0.118,-0.032,0.443,1.0
0.143,-0.232,0.268,1.0
0.314,-0.302,0.570,1.0
0.211,-0.101,0.050,0.0
0.406,-0.482,0.180,0.0
0.343,-0.232,-0.032,1.0
0.418,-0.057,-0.032,1.0
0.430,0.068,-0.025,1.0
0.570,-0.122,0.058,0.0
-0.328,-0.147,0.620,0.0
0.058,-0.278,0.264,1.0
0.108,-0.428,0.570,1.0
-0.457,-0.182,-0.032,0.0
-0.382,-0.157,0.318,1.0
-0.532,-0.157,0.368,1.0
-0.282,-0.257,-0.032,1.0
-0.270,0.168,0.024,0.0
-0.232,-0.582,0.243,0.0
-0.110,-0.521,0.469,0.0
0.018,-0.632,0.243,0.0
0.058,-0.172,0.364,1.0
0.118,-0.632,0.143,0.0
0.231,-0.482,-0.025,0.0
0.264,-0.533,0.108,1.0
0.288,-0.533,0.264,1.0
0.293,-0.132,0.618,1.0
0.168,0.018,0.543,0.0
0.264,0.058,0.314,0.0
0.381,-0.507,0.205,0.0
0.314,-0.135,-0.041,1.0
0.418,-0.057,-0.032,1.0
0.368,0.143,0.118,1.0
0.468,-0.182,-0.007,1.0
0.519,-0.122,0.389,1.0
0.480,-0.007,-0.007,1.0
0.524,-0.001,0.387,1.0
-0.228,-0.122,0.264,1.0
0.083,-0.584,0.364,1.0
0.108,-0.022,0.570,1.0
-0.483,-0.328,0.108,1.0
-0.533,-0.147,0.314,1.0
-0.532,-0.132,0.318,1.0
-0.382,-0.132,0.343,1.0
-0.533,0.108,0.083,1.0
-0.282,0.068,0.393,0.0
-0.257,-0.582,0.118,0.0
-0.278,-0.533,0.314,1.0
-0.328,-0.352,0.519,1.0
-0.270,0.268,-0.025,1.0
-0.207,-0.582,0.118,1.0
-0.172,-0.072,0.364,1.0
-0.057,-0.632,0.218,0.0
-0.057,-0.632,0.218,0.0
-0.057,-0.482,-0.032,1.0
-0.097,-0.483,0.519,1.0
0.018,-0.632,0.243,0.0
0.043,-0.482,-0.032,1.0
0.043,-0.382,0.618,0.0
0.024,-0.138,0.411,1.0
-0.032,-0.182,0.693,0.0
0.143,-0.432,-0.032,1.0
0.143,-0.232,0.268,1.0
0.093,-0.082,0.368,1.0
0.307,-0.034,0.614,1.0
0.343,-0.232,-0.032,1.0
0.393,0.030,0.468,1.0
0.430,-0.457,0.180,0.0
0.469,0.059,0.288,1.0
0.570,-0.097,0.083,1.0
0.570,0.083,0.264,1.0
-0.388,-0.080,0.596,0.0
0.083,-0.428,0.595,0.0
0.108,-0.022,0.519,1.0
0.264,-0.072,0.213,1.0
-0.457,-0.182,-0.032,0.0
-0.538,-0.201,0.287,1.0
-0.382,-0.157,0.368,1.0
-0.282,-0.082,0.443,1.0
-0.278,-0.533,0.339,0.0
-0.332,-0.382,0.018,1.0
-0.328,-0.483,0.264,1.0
-0.257,-0.332,-0.032,1.0
-0.132,-0.457,-0.032,1.0
-0.057,-0.432,-0.032,1.0
-0.032,-0.182,0.693,0.0
-0.132,0.018,0.543,0.0
0.043,-0.432,-0.032,1.0
0.093,-0.282,0.268,1.0
0.093,-0.082,0.368,1.0
0.168,0.018,0.543,0.0
0.309,-0.535,0.335,0.0
0.268,-0.257,-0.032,1.0
0.406,-0.482,0.180,0.0
0.381,-0.507,0.243,0.0
0.268,-0.257,-0.032,1.0
0.469,-0.328,0.314,1.0
0.493,-0.182,0.018,1.0
0.519,-0.278,0.108,1.0
0.469,-0.110,0.507,0.0
0.414,0.034,0.288,1.0
0.519,-0.122,0.389,1.0
0.480,-0.007,-0.007,1.0
0.518,0.118,0.143,1.0
0.414,-0.378,0.046,1.0
0.205,-0.119,0.331,1.0
0.256,-0.182,0.231,1.0
-0.177,-0.102,0.329,1.0
-0.393,-0.430,0.038,0.0
0.201,-0.127,0.328,1.0
0.505,0.018,0.005,1.0
-0.077,-0.532,0.518,0.0
0.337,-0.484,0.312,1.0
0.418,-0.469,0.231,0.0
0.468,0.043,-0.032,0.0
-0.077,-0.532,0.518,0.0
0.005,0.105,0.668,0.0
0.418,-0.469,0.231,0.0
0.418,0.030,0.555,1.0
