# x,y,z,is_reachable
-0.407,-0.407,-0.407,0.0
-0.407,-0.407,-0.354,0.0
-0.407,-0.407,-0.300,0.0
-0.407,-0.407,-0.247,0.0
-0.407,-0.407,-0.194,0.0
-0.407,-0.407,-0.140,0.0
-0.407,-0.407,-0.087,0.0
-0.407,-0.407,-0.034,0.0
-0.407,-0.407,0.020,0.0
-0.407,-0.407,0.073,1.0
-0.407,-0.407,0.126,1.0
-0.407,-0.407,0.180,1.0
-0.407,-0.407,0.233,1.0
-0.407,-0.407,0.286,1.0
-0.407,-0.407,0.340,1.0
-0.407,-0.407,0.393,0.0
-0.407,-0.354,-0.407,0.0
-0.407,-0.354,-0.354,0.0
-0.407,-0.354,-0.300,0.0
-0.407,-0.354,-0.247,0.0
-0.407,-0.354,-0.194,0.0
-0.407,-0.354,-0.140,0.0
-0.407,-0.354,-0.087,0.0
-0.407,-0.354,-0.034,0.0
-0.407,-0.354,0.020,1.0
-0.407,-0.354,0.073,1.0
-0.407,-0.354,0.126,1.0
-0.407,-0.354,0.180,1.0
-0.407,-0.354,0.233,1.0
-0.407,-0.354,0.286,1.0
-0.407,-0.354,0.340,1.0
-0.407,-0.354,0.393,1.0
-0.407,-0.300,-0.407,0.0
-0.407,-0.300,-0.354,0.0
-0.407,-0.300,-0.300,0.0
-0.407,-0.300,-0.247,0.0
-0.407,-0.300,-0.194,0.0
-0.407,-0.300,-0.140,0.0
-0.407,-0.300,-0.087,0.0
-0.407,-0.300,-0.034,0.0
-0.407,-0.300,0.020,1.0
-0.407,-0.300,0.073,1.0
-0.407,-0.300,0.126,1.0
-0.407,-0.300,0.180,1.0
-0.407,-0.300,0.233,1.0
-0.407,-0.300,0.286,1.0
-0.407,-0.300,0.340,1.0
-0.407,-0.300,0.393,1.0
-0.407,-0.247,-0.407,0.0
-0.407,-0.247,-0.354,0.0
-0.407,-0.247,-0.300,0.0
-0.407,-0.247,-0.247,0.0
-0.407,-0.247,-0.194,0.0
-0.407,-0.247,-0.140,0.0
-0.407,-0.247,-0.087,0.0
-0.407,-0.247,-0.034,1.0
