# x,y,z,is_reachable
-0.406,-0.033,0.311,1.0
0.224,0.198,0.068,1.0
-0.544,0.009,0.390,0.0
-0.127,-0.230,0.646,1.0
-0.127,-0.230,0.646,1.0
-0.394,-0.045,0.324,1.0
-0.394,-0.045,0.324,1.0
0.389,-0.085,0.582,1.0
0.273,-0.092,-0.028,1.0
0.262,-0.135,0.114,1.0
-0.387,-0.041,0.512,1.0
-0.396,-0.071,0.518,1.0
0.100,-0.550,0.068,1.0
-0.501,-0.185,0.049,1.0
-0.501,-0.185,0.049,1.0
0.100,-0.550,0.068,1.0
-0.044,-0.588,0.225,1.0
0.013,-0.584,0.251,1.0
0.013,-0.584,0.251,1.0
-0.044,-0.588,0.225,1.0
0.331,-0.182,0.581,1.0
-0.270,-0.220,0.118,1.0
-0.135,-0.480,0.438,1.0
0.376,0.032,0.247,1.0
0.425,-0.018,0.247,1.0
-0.265,-0.135,0.213,1.0
0.499,-0.276,0.068,1.0
-0.507,-0.088,-0.013,0.0
-0.120,-0.237,0.651,1.0
-0.151,-0.230,0.634,1.0
-0.120,-0.237,0.651,1.0
0.315,-0.379,0.477,1.0
-0.389,-0.045,0.512,1.0
0.272,-0.099,-0.036,0.0
0.262,-0.135,0.114,1.0
-0.519,0.061,0.018,1.0
-0.127,-0.584,0.344,1.0
-0.397,-0.073,0.518,1.0
-0.388,-0.044,0.512,1.0
-0.434,-0.074,0.480,1.0
0.100,-0.550,0.068,1.0
-0.381,0.021,0.302,1.0
0.100,-0.550,0.068,1.0
0.315,-0.379,0.477,1.0
-0.032,-0.588,0.237,1.0
0.018,-0.588,0.237,1.0
0.018,-0.588,0.237,1.0
-0.032,-0.588,0.237,1.0
-0.225,-0.259,0.120,1.0
-0.320,-0.419,0.043,1.0
-0.128,-0.486,0.431,1.0
-0.449,0.052,0.273,1.0
0.032,-0.540,0.263,1.0
0.376,-0.018,0.247,1.0
-0.507,0.068,0.024,1.0
-0.510,-0.126,-0.013,0.0
0.032,-0.578,0.288,1.0
0.040,-0.578,0.286,1.0
0.391,0.009,0.230,1.0
0.285,-0.131,-0.036,0.0
0.057,-0.405,0.553,1.0
0.057,-0.405,0.553,1.0
-0.264,0.012,0.443,1.0
-0.388,-0.042,0.512,1.0
0.315,-0.392,0.465,1.0
-0.019,-0.494,0.518,1.0
-0.019,-0.494,0.518,1.0
-0.280,-0.145,0.572,1.0
0.418,-0.213,-0.025,1.0
0.418,-0.213,-0.025,1.0
-0.044,-0.494,0.518,1.0
-0.044,-0.494,0.518,1.0
-0.501,-0.185,0.049,1.0
-0.501,-0.185,0.049,1.0
-0.527,-0.048,0.240,1.0
0.081,-0.588,0.225,1.0
0.081,-0.588,0.225,1.0
0.256,-0.132,0.131,1.0
0.315,-0.392,0.465,1.0
-0.032,-0.588,0.237,1.0
-0.095,-0.588,0.225,1.0
-0.273,-0.489,0.315,1.0
-0.095,-0.588,0.225,1.0
0.018,-0.588,0.237,1.0
-0.301,-0.038,0.140,1.0
-0.270,-0.226,0.124,1.0
0.018,-0.588,0.237,1.0
-0.032,-0.588,0.237,1.0
-0.320,-0.419,0.043,1.0
-0.070,-0.588,0.224,1.0
-0.070,-0.588,0.224,1.0
-0.135,-0.480,0.438,1.0
-0.376,0.159,0.162,1.0
0.032,-0.540,0.263,1.0
0.274,-0.488,0.105,1.0
0.241,-0.281,0.201,1.0
0.291,-0.231,0.201,1.0
-0.507,0.068,0.024,1.0
-0.381,-0.033,0.336,1.0
0.515,0.062,0.289,1.0
0.321,0.105,0.055,1.0
-0.510,-0.088,-0.013,0.0
-0.389,0.146,0.199,0.0
-0.389,0.146,0.199,0.0
0.032,-0.578,0.288,1.0
-0.389,0.146,0.199,0.0
-0.389,0.146,0.199,0.0
0.040,-0.578,0.286,1.0
0.391,0.034,0.230,1.0
-0.007,-0.395,-0.057,0.0
-0.007,-0.395,-0.057,0.0
0.057,-0.405,0.553,1.0
-0.007,-0.395,-0.051,1.0
-0.007,-0.395,-0.051,1.0
0.057,-0.405,0.553,1.0
-0.532,-0.268,0.329,0.0
0.304,-0.005,0.505,0.0
-0.318,-0.058,-0.039,1.0
-0.318,-0.058,-0.039,0.0
0.518,0.030,0.453,0.0
-0.598,-0.095,0.218,0.0
0.418,-0.213,-0.025,1.0
0.418,-0.213,-0.025,1.0
-0.397,-0.073,0.518,1.0
-0.362,-0.431,0.053,1.0
-0.329,-0.235,0.590,1.0
-0.598,-0.095,0.218,0.0
-0.396,-0.071,0.518,1.0
-0.362,-0.431,0.053,1.0
-0.231,0.053,0.323,0.0
-0.231,0.053,0.323,1.0
0.193,0.081,-0.013,0.0
0.056,-0.588,0.225,1.0
