x,y,z,qx,qy,qz,qw,J1,J2,J3,J4,J5,J6
-3.691558706040319882e-01,1.833781814153594841e-03,2.079646263782985449e-01,4.129603852999295666e-01,-1.127309580376362613e-01,8.032925519567625239e-01,-4.140972437044744270e-01,-1.565200267561844161e+00,-1.128893876358934012e+00,-2.572470569441519750e+00,-2.257748803103138524e+00,-2.926372022127081696e+00,-2.960038274850036011e+00
1.501082005816814849e-02,-3.974069686802280676e-01,-1.576061952754116702e-01,7.497471835792879347e-02,1.887863099929924793e-01,5.841679511539139558e-01,7.858029814215635733e-01,-1.557708643415445238e-02,2.685887999082031463e+00,-2.264221114580829308e+00,2.690985195113037243e+00,2.053039701628815550e+00,1.063331263611096311e+00
-5.888542251330661781e-01,-7.434069806265369840e-02,2.247002477347547766e-01,1.668885924839312584e-01,-7.776802391036035100e-01,2.210293897275391606e-01,5.643648219752605000e-01,1.464057682988457287e+00,1.155014040821316534e+00,-8.943092720909247006e-01,-1.650984135345397341e+00,-4.610601086926022774e-01,1.148177038336144484e-01
-2.720221297316495201e-01,1.622471912895076182e-02,6.225403560875319986e-01,-1.669510992818252007e-02,-3.702530328566627227e-01,-8.249199587331210171e-02,9.251102829294283181e-01,-1.491159586609897891e+00,-5.238699067357530659e-01,-1.822651722790301188e+00,-1.999141543962323242e+00,-4.113608357175824182e-02,-2.796260873179008399e+00
-1.640141270042842075e-02,-1.124040455135217192e-01,2.602147047443934547e-01,-2.003267512228638081e-01,1.675759056853757256e-01,-1.425557560896096587e-01,9.547069524120680439e-01,1.936019486673767886e-01,1.111606722888753396e+00,1.661732558426662010e+00,-2.830340732902698164e+00,-1.507496189422783406e+00,-5.407771192937360638e-02
-2.040634230017265849e-01,4.022072272100838397e-01,2.629632632692235350e-01,7.445186402034001949e-01,5.459108042879794453e-01,3.838252805942167223e-01,-1.874945674154008743e-02,-5.176493661588548179e-01,-1.430979650567078210e+00,-1.345074972423365267e+00,-7.858195914102381607e-01,-1.715084499942811869e+00,2.184330711066127861e+00
-6.413764177768238595e-02,2.439025383242829359e-02,6.477418368175092978e-01,-1.665366883519817098e-01,-1.942670508658973505e-01,9.559802563808493803e-01,1.436230962994036742e-01,-7.997084420306999064e-01,-7.069582561712444146e-01,-5.313380989189893100e-01,9.890072986609759198e-01,-6.309508685072779954e-01,-1.998193384201021106e+00
-2.644810722423442950e-01,2.221071232795443495e-01,4.148516004847013078e-03,-5.072448541363956398e-01,8.879348312151405520e-02,7.013662928181755296e-01,-4.928526134715995877e-01,-7.519732427041656564e-01,-2.503835912317222689e+00,-3.640779260562956310e-01,-1.147226358174691097e+00,1.171853583696633727e+00,8.940150218674207672e-01
-2.543930172111704135e-01,2.656056664564078740e-01,4.267861943918811463e-01,7.205391189033095722e-01,-5.579627510591084194e-01,-4.113372148857276089e-01,1.739661491919960307e-02,-7.258615787371622829e-01,-6.423692496694544118e-01,-2.318978833790999339e+00,2.140082697808285417e-01,-9.265639025219631897e-01,-1.151799270675512910e+00
2.677092710049304713e-01,2.499665961532669123e-01,5.914147691762282610e-01,-1.382411759666299367e-01,8.628746167220183727e-01,4.836993239237126763e-01,4.870048377518299693e-02,-2.264445304979783025e+00,4.749253056566025144e-01,-1.357964504183267085e+00,7.568013284585761724e-01,1.658359168884657286e+00,2.343732180952748045e+00
-4.474050419869966821e-02,1.056620250814712531e-02,2.389829538871978132e-01,-4.630992647546365304e-01,-2.452729780311008745e-01,-4.782331290945834867e-01,7.047505313711189823e-01,-1.930676602490193572e+00,-4.647596261884032742e-01,1.955488427750188052e+00,-1.067655449239185206e+00,-2.000992335059798677e+00,-1.004702993516661147e+00
7.545613841073593731e-02,-1.518928018843173494e-02,6.391596965405506037e-01,5.958661654019096199e-01,2.716023454725099429e-01,6.025931585114553402e-01,-4.561328361105400631e-01,2.399445300212392773e+00,-6.383772905148279442e-01,-7.423014867639050607e-01,1.872668427322855322e+00,-1.368408079986618286e+00,1.974354122512004039e+00
-4.826494439313172569e-01,-2.148632109698859205e-01,3.022299769576670680e-01,-4.210199815678696278e-01,1.463848493028246378e-01,7.550343755774995003e-02,8.919713459142862844e-01,1.092469142119947279e+00,1.643625616579750925e+00,-2.266880133322705326e+00,-2.501386514218195245e+00,1.650529335288596577e+00,1.072356125092307266e+00
